price,lat,lon,usable_area,land_area,garage,new,furnished,cellar,parkingLots,reconstructed
5854000,49.916501092006285,13.98699890799372,103,442,0,0,0,0,0,0
15135000,50.24020909200628,12.91068490799372,445,409,0,0,1,0,1,1
16424000,50.20162709200629,12.83222890799372,516,1081,1,0,0,0,1,0
6511000,49.96974309200628,15.24173090799372,107,206,1,0,0,0,0,1
22257000,49.83944809200628,14.39220890799372,187,807,0,1,0,0,0,0
9967000,49.81951609200628,13.84919990799372,328,539,0,0,0,0,0,0
35186000,50.13825309200628,14.34466690799372,340,1483,1,0,0,1,1,0
18737000,50.08365009200628,14.54771390799372,93,721,0,1,0,0,1,0
23465000,50.05272409200628,14.72898990799372,224,869,0,1,0,0,0,0
24052000,50.06221109200628,14.74253590799372,224,927,1,1,0,0,1,0
7507000,49.69158309200628,17.984262907993717,104,234,0,1,0,0,0,0
11674000,50.06010509200628,16.063604907993717,141,4485,0,0,0,0,0,1
23231000,50.048810092006285,14.57041590799372,316,1066,1,0,0,1,1,0
3508000,48.88656709200628,15.75543290799372,90,90,0,0,1,1,1,0
11146000,48.78144209200628,16.021654907993717,170,591,0,1,0,0,1,0
4927000,48.82315209200628,16.17862590799372,222,1279,0,0,0,0,1,0
7861000,48.76045709200629,16.144283907993717,143,908,0,1,0,0,1,0
3038000,49.39790109200628,15.53987790799372,48,711,0,0,1,0,1,0
8787000,48.81123109200628,16.086197907993718,434,573,0,0,0,0,1,0
3989000,49.10705309200628,17.436077907993717,252,1806,1,0,0,1,1,0
9961000,50.17530209200629,14.04978690799372,164,813,1,0,0,1,1,0
3508000,48.90358509200628,16.862759907993716,105,516,0,0,0,1,1,0
7919000,49.13473209200628,14.18076290799372,165,321,0,0,0,0,0,0
2639000,49.13568609200628,15.01388890799372,1,3,0,0,0,0,0,0
12307000,49.03258209200628,15.82716890799372,445,1022,1,0,0,1,1,0
7614000,50.67618709200628,14.53366390799372,212,704,1,0,0,1,1,0
8236000,49.765252092006286,16.931194907993717,119,255,0,1,0,0,0,0
22291000,49.78323109200628,14.89875890799372,410,1600,1,0,0,1,1,0
10289000,49.64075209200628,14.37171190799372,188,1500,0,1,0,0,0,0
16426000,50.67407309200628,15.14817690799372,375,1170,1,0,0,1,0,0
9374000,50.68592609200629,15.22553490799372,170,1319,0,0,0,1,1,0
6441000,50.52652109200629,16.242418907993716,146,455,0,0,1,0,1,1
11146000,49.69899909200628,18.38128190799372,174,1400,0,1,0,0,0,0
4106000,48.871354092006285,16.19412290799372,110,330,0,0,0,0,1,0
4106000,49.17393209200628,16.404505907993716,179,188,0,0,0,1,0,0
2229000,50.205907092006285,12.36212490799372,233,588,0,0,0,1,1,0
11498000,50.15199009200628,14.12825590799372,237,689,1,0,0,0,1,0
14056000,49.01132309200628,16.508663907993718,351,818,1,1,0,0,0,0
14079000,49.72379409200628,14.91433590799372,334,2129,1,0,1,0,1,1
2573000,49.54748609200628,16.430357907993717,161,318,0,0,0,0,0,0
13481000,49.57612309200629,18.15246690799372,269,708,1,0,0,0,0,1
12307000,49.79316409200628,18.42198690799372,293,666,1,0,0,1,1,0
7028000,48.927480092006284,17.184891907993716,271,300,1,0,0,1,0,0
19593000,50.34259909200628,13.79846790799372,443,1818,0,0,0,0,1,0
10547000,50.357595092006285,14.97406390799372,292,341,0,0,0,0,0,1
8154000,49.05717209200628,17.644771907993718,117,751,0,0,0,0,0,0
8095000,50.19055709200628,14.85544690799372,175,748,1,0,0,1,1,0
37427000,50.12086209200629,14.67082790799372,469,750,1,1,1,1,1,0
18772000,49.81482009200628,14.44994990799372,620,2277,1,0,0,0,1,0
6441000,50.42669009200628,14.35748790799372,193,445,0,0,0,0,0,1
11721000,50.03740809200628,12.42238990799372,492,1414,1,0,1,1,1,0
